"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 03 13:54:51 CET 2023","Fri Mar 03 13:55:13 CET 2023","21341","","failing spec 2","","","","fails",""
"passed","Fri Mar 03 13:55:23 CET 2023","Fri Mar 03 13:55:24 CET 2023","974","","passing test","","","","passes",""
"failed","Fri Mar 03 13:54:20 CET 2023","Fri Mar 03 13:54:41 CET 2023","21402","","failing spec","","","","fails",""
